t_mono,wall_ts,model,phase,gpu_w,gpu_temp_c,cpu_temp_c,cpu_pct
9494.645,,gemma3:1b,idle,12.63,47.0,,
9495.169,,gemma3:1b,idle,12.64,47.0,,
9495.693,,gemma3:1b,idle,12.45,47.0,,
9496.221,,gemma3:1b,idle,12.40,47.0,,
9496.750,,gemma3:1b,idle,12.23,47.0,,
9497.280,,gemma3:1b,idle,12.50,47.0,,
9497.818,,gemma3:1b,idle,12.86,47.0,,
9498.341,,gemma3:1b,idle,12.90,47.0,,
9498.894,,gemma3:1b,idle,12.53,47.0,,
9499.426,,gemma3:1b,idle,12.39,47.0,,
9499.958,,gemma3:1b,idle,12.78,47.0,,
9500.482,,gemma3:1b,idle,12.58,47.0,,
9501.016,,gemma3:1b,idle,12.26,47.0,,
9501.542,,gemma3:1b,idle,12.56,47.0,,
9502.082,,gemma3:1b,idle,12.88,47.0,,
9502.609,,gemma3:1b,idle,12.79,47.0,,
9503.138,,gemma3:1b,idle,12.83,47.0,,
9503.664,,gemma3:1b,idle,12.81,47.0,,
9504.193,,gemma3:1b,idle,12.79,47.0,,
9504.720,,gemma3:1b,idle,12.88,47.0,,
9505.246,,gemma3:1b,idle,12.84,47.0,,
9505.771,,gemma3:1b,idle,12.72,47.0,,
9506.294,,gemma3:1b,idle,12.54,47.0,,
9506.819,,gemma3:1b,idle,12.36,47.0,,
9507.345,,gemma3:1b,idle,12.63,47.0,,
9507.870,,gemma3:1b,idle,12.76,47.0,,
9508.395,,gemma3:1b,idle,12.88,47.0,,
9508.924,,gemma3:1b,idle,12.89,47.0,,
9509.450,,gemma3:1b,idle,12.80,47.0,,
9509.984,,gemma3:1b,idle,12.72,47.0,,
9510.509,,gemma3:1b,idle,12.68,47.0,,
9511.046,,gemma3:1b,idle,12.61,47.0,,
9511.573,,gemma3:1b,idle,12.39,47.0,,
9512.097,,gemma3:1b,idle,12.57,47.0,,
9512.636,,gemma3:1b,idle,12.72,47.0,,
9513.162,,gemma3:1b,idle,12.76,47.0,,
9513.705,,gemma3:1b,idle,12.71,47.0,,
9514.230,,gemma3:1b,idle,12.47,47.0,,
9514.755,,gemma3:1b,idle,12.65,47.0,,
9515.299,,gemma3:1b,run1_p0,12.69,47.0,,
9515.825,,gemma3:1b,run1_p0,18.07,47.0,,
9516.361,,gemma3:1b,run1_p1,34.89,50.0,,
9516.889,,gemma3:1b,run1_p2,62.51,54.0,,
9517.426,,gemma3:1b,run1_p3,68.40,55.0,,
9517.958,,gemma3:1b,run1_p4,65.89,54.0,,
9518.499,,gemma3:1b,run1_p5,62.98,51.0,,
